Time(s)	X	Y	Z
3,34	-0,720	-0,425	-1,230
3,85	-0,720	-0,425	-1,230
4,35	-2,158	1,453	0,322
4,85	-0,720	1,454	-1,231
5,35	-0,769	1,458	-1,244
5,85	-0,774	1,460	-1,251
6,36	-0,774	1,459	-1,248
6,87	-0,820	1,435	-1,267
7,37	-0,862	1,422	-1,266
7,87	-0,928	1,422	-1,260
8,37	-0,865	1,462	-1,272
8,88	-0,820	1,447	-1,267
9,38	-0,839	1,441	-1,310
9,89	-0,862	1,440	-1,300
10,40	-0,827	1,423	-1,311
10,91	-0,823	1,422	-1,309
11,43	-0,817	1,450	-1,295
11,94	-0,813	1,460	-1,291
12,45	-0,800	1,454	-1,292
12,97	-0,800	1,439	-1,294
13,48	-0,798	1,437	-1,298
13,99	-0,794	1,438	-1,302
14,51	-0,793	1,437	-1,304
15,01	-0,791	1,438	-1,302
15,51	-0,794	1,438	-1,304
16,01	-0,798	1,441	-1,305
16,52	-0,797	1,448	-1,304
17,02	-0,823	1,435	-1,327
17,52	-0,865	1,419	-1,357
18,04	-0,904	1,409	-1,411
18,54	-0,946	1,404	-1,421
19,05	-0,905	1,469	-1,376
19,55	-0,787	1,504	-1,315
20,07	-0,824	1,491	-1,271
20,58	-0,881	1,421	-1,253
21,09	-0,876	1,423	-1,256
21,59	-0,858	1,425	-1,244
22,09	-0,859	1,422	-1,223
22,61	-0,853	1,423	-1,232
23,11	-0,883	1,415	-1,192
23,62	-1,007	1,399	-1,218
24,12	-1,228	1,404	-1,365
24,63	-1,427	1,379	-1,300
25,13	-1,565	1,396	-1,197
25,65	-1,653	1,392	-1,213
26,16	-1,537	1,443	-1,187
26,68	-1,546	1,457	-1,171
27,19	-1,657	1,388	-1,126
27,70	-1,703	1,361	-1,209
28,20	-1,726	1,365	-1,304
28,72	-1,819	1,343	-1,293
29,23	-1,822	1,345	-1,262
29,74	-1,788	1,385	-1,264
30,26	-1,806	1,353	-1,260
30,77	-1,844	1,326	-1,228
31,29	-1,832	1,332	-1,222
31,79	-1,829	1,337	-1,224
32,30	-1,839	1,334	-1,229
32,81	-1,848	1,327	-1,220
33,33	-1,843	1,331	-1,219
33,84	-1,825	1,346	-1,227
34,34	-1,837	1,330	-1,222
34,84	-1,818	1,345	-1,215
35,34	-1,773	1,381	-1,213
35,84	-1,737	1,407	-1,234
36,34	-1,741	1,406	-1,238
36,86	-1,743	1,399	-1,226
37,37	-1,733	1,399	-1,227
37,87	-1,719	1,401	-1,228
38,38	-1,698	1,403	-1,237
38,90	-1,699	1,398	-1,235
39,41	-1,699	1,399	-1,243
39,91	-1,700	1,396	-1,255
40,43	-1,703	1,398	-1,246
40,93	-1,720	1,394	-1,244
41,44	-1,724	1,397	-1,236
41,95	-1,764	1,364	-1,204
42,45	-1,843	1,306	-1,204
42,97	-1,891	1,238	-1,189
43,48	-1,907	1,269	-1,194
43,98	-1,881	1,305	-1,190
44,50	-1,747	1,392	-1,150
45,00	-1,676	1,414	-1,135
45,50	-1,659	1,436	-1,151
46,02	-1,656	1,439	-1,175
46,52	-1,635	1,437	-1,158
47,02	-1,621	1,440	-1,131
47,52	-1,668	1,435	-1,189
48,03	-1,646	1,440	-1,185
48,54	-1,636	1,418	-1,191
49,04	-1,636	1,436	-1,194
49,56	-1,633	1,434	-1,205
50,06	-1,622	1,455	-1,219
50,56	-1,629	1,449	-1,221
51,07	-1,630	1,449	-1,232
51,59	-1,642	1,448	-1,233
52,09	-1,639	1,448	-1,228
52,60	-1,630	1,449	-1,228
53,11	-1,633	1,448	-1,226
53,61	-1,641	1,451	-1,214
54,13	-1,641	1,451	-1,207
54,63	-1,638	1,459	-1,205
55,14	-1,632	1,465	-1,207
55,65	-1,628	1,463	-1,205
56,17	-1,629	1,461	-1,206
56,67	-1,628	1,460	-1,206
57,18	-1,617	1,450	-1,198
57,68	-1,626	1,453	-1,204
58,18	-1,637	1,453	-1,198
58,69	-1,637	1,452	-1,191
59,20	-1,649	1,438	-1,193
59,70	-1,659	1,419	-1,193
60,22	-1,648	1,437	-1,195
60,72	-1,659	1,418	-1,200
61,23	-1,701	1,383	-1,234
61,75	-1,694	1,386	-1,280
62,26	-1,694	1,384	-1,288
62,76	-1,716	1,380	-1,304
63,26	-1,716	1,386	-1,311
63,77	-1,669	1,408	-1,294
64,27	-1,665	1,409	-1,285
64,79	-1,659	1,409	-1,283
65,29	-1,657	1,412	-1,279
65,79	-1,644	1,415	-1,270
66,29	-1,645	1,415	-1,265
66,80	-1,644	1,423	-1,261
67,30	-1,625	1,456	-1,256
67,81	-1,617	1,462	-1,257
68,31	-1,612	1,462	-1,257
68,83	-1,627	1,453	-1,255
69,33	-1,650	1,430	-1,271
69,84	-1,705	1,393	-1,305
70,34	-1,748	1,378	-1,326
70,86	-1,753	1,386	-1,363
71,36	-1,754	1,381	-1,368
71,87	-1,791	1,334	-1,419
72,37	-1,790	1,309	-1,425
72,88	-1,759	1,341	-1,373
73,40	-1,743	1,356	-1,334
73,91	-1,738	1,361	-1,318
74,43	-1,785	1,295	-1,342
74,93	-1,775	1,337	-1,305
75,43	-1,762	1,357	-1,288
75,94	-1,754	1,366	-1,279
76,45	-1,721	1,375	-1,238
76,97	-1,725	1,376	-1,245
77,47	-1,724	1,375	-1,252
77,98	-1,734	1,374	-1,244
78,49	-1,668	1,421	-1,202
79,01	-1,633	1,424	-1,175
79,52	-1,623	1,429	-1,177
80,04	-1,625	1,438	-1,194
80,54	-1,609	1,439	-1,190
81,04	-1,605	1,435	-1,192
81,56	-1,606	1,436	-1,200
82,07	-1,615	1,437	-1,218
