Time(s)	X	Y	Z
2,67	-0,720	-0,305	-1,230
3,17	-0,720	-0,305	-1,230
3,69	-1,648	1,867	-0,661
4,19	-0,721	1,864	-1,230
4,69	-0,719	1,864	-1,228
5,20	-0,718	1,864	-1,225
5,71	-0,717	1,866	-1,222
6,21	-0,718	1,866	-1,223
6,71	-0,738	1,865	-1,229
7,22	-0,780	1,862	-1,247
7,73	-0,791	1,861	-1,262
8,24	-0,789	1,858	-1,263
8,74	-0,784	1,854	-1,255
9,24	-0,782	1,850	-1,250
9,75	-0,777	1,850	-1,253
10,25	-0,779	1,852	-1,258
10,77	-0,783	1,852	-1,260
11,28	-0,787	1,848	-1,260
11,78	-0,846	1,797	-1,278
12,29	-0,905	1,770	-1,324
12,79	-0,904	1,756	-1,332
13,29	-0,890	1,762	-1,317
13,81	-0,897	1,767	-1,315
14,31	-0,882	1,784	-1,282
14,82	-0,810	1,828	-1,234
15,34	-0,795	1,847	-1,247
15,84	-0,810	1,842	-1,255
16,34	-0,822	1,842	-1,254
16,85	-0,812	1,851	-1,248
17,35	-0,814	1,846	-1,242
17,86	-0,819	1,839	-1,235
18,38	-0,820	1,846	-1,229
18,88	-0,816	1,843	-1,226
19,39	-0,818	1,840	-1,227
19,91	-0,819	1,841	-1,232
20,41	-0,818	1,840	-1,239
20,92	-0,812	1,841	-1,245
21,42	-0,809	1,843	-1,251
21,92	-0,824	1,827	-1,255
22,43	-0,820	1,812	-1,246
22,93	-0,816	1,808	-1,247
23,43	-0,794	1,794	-1,237
23,93	-0,800	1,800	-1,235
24,45	-0,811	1,838	-1,236
24,95	-0,814	1,848	-1,240
25,45	-0,816	1,848	-1,242
25,96	-0,814	1,846	-1,240
26,46	-0,814	1,846	-1,245
26,96	-0,814	1,845	-1,246
27,47	-0,812	1,844	-1,248
27,97	-0,810	1,845	-1,253
28,49	-0,809	1,845	-1,261
28,99	-0,808	1,847	-1,268
29,50	-0,804	1,848	-1,268
30,00	-0,796	1,869	-1,281
30,52	-0,799	1,852	-1,272
31,02	-0,783	1,841	-1,235
31,52	-0,795	1,838	-1,241
32,02	-0,797	1,842	-1,238
32,53	-0,802	1,841	-1,236
33,03	-0,806	1,841	-1,236
33,55	-0,807	1,840	-1,239
34,06	-0,807	1,839	-1,246
34,57	-0,808	1,840	-1,248
35,07	-0,804	1,841	-1,247
35,59	-0,802	1,841	-1,247
36,10	-0,804	1,840	-1,248
36,60	-0,803	1,842	-1,253
37,11	-0,805	1,843	-1,256
37,61	-0,805	1,843	-1,260
38,11	-0,805	1,842	-1,258
38,63	-0,804	1,843	-1,260
39,13	-0,805	1,843	-1,260
39,64	-0,805	1,844	-1,259
40,14	-0,805	1,847	-1,262
40,66	-0,802	1,849	-1,266
41,16	-0,803	1,848	-1,265
41,66	-0,801	1,848	-1,260
42,16	-0,728	1,794	-1,182
42,66	-0,640	1,762	-1,148
43,16	-0,648	1,761	-1,150
43,66	-0,727	1,772	-1,174
44,17	-0,769	1,780	-1,188
44,68	-0,760	1,793	-1,215
45,20	-0,755	1,804	-1,210
45,71	-0,757	1,803	-1,201
46,21	-0,748	1,801	-1,194
46,73	-0,739	1,803	-1,192
47,23	-0,740	1,811	-1,203
47,74	-0,745	1,812	-1,210
48,25	-0,746	1,814	-1,214
48,75	-0,711	1,790	-1,209
49,27	-0,704	1,770	-1,197
49,78	-0,693	1,764	-1,196
50,29	-0,695	1,765	-1,201
50,79	-0,710	1,790	-1,220
51,31	-0,772	1,832	-1,260
51,82	-0,765	1,846	-1,278
52,32	-0,745	1,837	-1,274
52,82	-0,733	1,841	-1,285
53,34	-0,728	1,840	-1,282
53,84	-0,729	1,840	-1,282
54,35	-0,734	1,839	-1,282
54,88	-0,733	1,839	-1,273
55,38	-0,735	1,839	-1,263
55,89	-0,730	1,841	-1,260
